item_id,name,category,subcategory,width_cm,depth_cm,height_cm,mass_kg,temp_requirement,lot_number,current_location,orientation_allowed,hazardous_class,tags_id,priority,expiry_date,maximum_uses,current_uses,usage_remaining,usage_frequency,preferred_zone,status
000015,First_Aid_Kit_006,Medical,First_Aid_Kit,37.2,34.6,10.7,6.62,AMBIENT,LOT2024-480,,True,NONE,"[""BAR178957"", ""RFID39571""]",85,2028-01-05,2418.0,1141,1277.0,0.61,Medical_Bay,BROKEN
000016,First_Aid_Kit_007,Medical,First_Aid_Kit,33.3,8.4,18.0,3.69,AMBIENT,LOT2025-111,,True,NONE,"[""BAR807617"", ""RFID13280""]",91,2027-11-07,2148.0,453,1695.0,0.76,Medical_Bay,ACTIVE
000017,First_Aid_Kit_008,Medical,First_Aid_Kit,28.3,22.9,22.2,5.23,WARM,LOT2025-119,,False,NONE,"[""BAR201913"", ""RFID80457"", ""QR8432""]",73,2026-02-22,372.0,178,194.0,0.36,Medical_Bay,DISPOSED
000018,First_Aid_Kit_009,Medical,First_Aid_Kit,21.4,31.8,8.0,3.38,AMBIENT,LOT2025-034,,True,NONE,"[""BAR823811"", ""RFID68115""]",73,2028-02-02,4009.0,1404,2605.0,0.27,Medical_Bay,ACTIVE
000019,First_Aid_Kit_010,Medical,First_Aid_Kit,36.9,28.6,5.6,2.28,COLD,LOT2026-612,,True,NONE,"[""BAR122394"", ""RFID53713"", ""QR3063""]",100,2026-02-04,3726.0,1699,2027.0,0.65,Medical_Bay,ACTIVE
000020,First_Aid_Kit_011,Medical,First_Aid_Kit,14.6,14.9,26.6,2.7,COLD,LOT2024-134,,True,NONE,"[""BAR666456"", ""RFID32871"", ""QR1422""]",74,2027-12-18,4883.0,974,3909.0,0.19,Medical_Bay,ACTIVE
000021,First_Aid_Kit_012,Medical,First_Aid_Kit,8.5,16.5,7.3,3.43,AMBIENT,LOT2026-608,,True,NONE,"[""BAR214351"", ""RFID39038""]",73,2027-11-04,521.0,154,367.0,0.13,Medical_Bay,IN_USE
000022,Medical_Scanner_001,Medical,Medical_Scanner,9.9,23.3,14.4,5.52,COLD,LOT2026-152,,True,BIOHAZARD,"[""BAR168872"", ""RFID91830""]",85,2027-10-01,3634.0,1223,2411.0,0.48,Medical_Bay,ACTIVE
000023,Food_Packet_001,Food,Food_Packet,24.2,21.8,24.6,0.75,COLD,LOT2024-424,,True,NONE,"[""BAR455395""]",95,2027-10-10,1762.0,320,1442.0,2.32,Storage_Bay,ACTIVE
000024,Food_Packet_002,Food,Food_Packet,20.0,12.9,28.0,0.52,COLD,LOT2026-382,,True,NONE,"[""BAR951201"", ""RFID17861""]",65,2026-01-05,3538.0,250,3288.0,1.9,Storage_Bay,ACTIVE
000025,Food_Packet_003,Food,Food_Packet,36.0,38.1,15.0,4.6,COLD,LOT2024-592,,True,NONE,"[""BAR632060"", ""RFID96079""]",63,2026-07-23,4919.0,2278,2641.0,2.62,Storage_Bay,ACTIVE
000026,Food_Packet_004,Food,Food_Packet,32.4,26.4,25.0,4.26,AMBIENT,LOT2026-274,,True,NONE,"[""BAR130359"", ""RFID50499""]",95,2025-10-28,4989.0,586,4403.0,1.38,Storage_Bay,ACTIVE
000027,Food_Packet_005,Food,Food_Packet,20.8,12.5,20.5,0.35,COLD,LOT2025-162,,True,NONE,"[""BAR488028"", ""RFID52517""]",93,2026-05-10,3082.0,107,2975.0,1.92,Storage_Bay,ACTIVE
000028,Food_Packet_006,Food,Food_Packet,32.1,9.6,6.1,2.33,COLD,LOT2025-221,,True,NONE,"[""BAR891615"", ""RFID55242""]",87,2027-02-11,4974.0,1993,2981.0,1.21,Storage_Bay,ACTIVE
000029,Food_Packet_007,Food,Food_Packet,17.9,15.1,29.6,0.46,AMBIENT,LOT2025-297,,True,NONE,"[""BAR444061"", ""RFID75193""]",73,2026-08-06,1731.0,720,1011.0,0.94,Storage_Bay,ACTIVE
000030,Food_Packet_008,Food,Food_Packet,25.9,29.4,13.2,2.11,COLD,LOT2024-883,,True,NONE,"[""BAR428267"", ""RFID85156""]",62,2026-12-22,154.0,51,103.0,2.1,Storage_Bay,ACTIVE
000031,Protein_Bars_001,Food,Protein_Bars,13.5,38.3,16.0,3.51,AMBIENT,LOT2024-447,,True,NONE,"[""BAR717476"", ""RFID20308""]",83,2025-12-31,3578.0,682,2896.0,1.28,Storage_Bay,ACTIVE
000032,Protein_Bars_002,Food,Protein_Bars,10.4,28.3,17.8,1.13,COLD,LOT2024-263,,True,NONE,"[""BAR306854"", ""RFID30036""]",82,2026-09-26,1210.0,505,705.0,2.14,Storage_Bay,ACTIVE
000033,Protein_Bars_003,Food,Protein_Bars,26.0,26.5,21.7,4.43,COLD,LOT2024-481,,True,NONE,"[""BAR563688"", ""RFID46002""]",80,2027-07-06,2590.0,945,1645.0,1.38,Storage_Bay,ACTIVE
000034,Protein_Bars_004,Food,Protein_Bars,9.8,34.6,6.0,4.35,COLD,LOT2025-595,,True,NONE,"[""BAR681242""]",65,2027-06-23,4867.0,2341,2526.0,0.6,Storage_Bay,WASTE_DEPLETED
000035,Protein_Bars_005,Food,Protein_Bars,18.3,23.2,7.9,0.5,N/A,LOT2024-517,,True,NONE,"[""BAR777513"", ""RFID42472""]",66,2028-01-10,2814.0,1248,1566.0,2.98,Storage_Bay,ACTIVE
000036,Protein_Bars_006,Food,Protein_Bars,19.9,17.1,14.6,1.82,COLD,LOT2024-572,,True,NONE,"[""BAR811332"", ""RFID43029""]",63,2027-12-19,2742.0,307,2435.0,2.14,Storage_Bay,WASTE_DEPLETED
000037,Water_Bottle_001,Food,Water_Bottle,29.2,37.3,12.1,3.35,AMBIENT,LOT2024-318,,True,NONE,"[""BAR686072"", ""RFID53054""]",85,2026-02-11,4875.0,2156,2719.0,2.18,Storage_Bay,PLANNED
000038,Water_Bottle_002,Food,Water_Bottle,29.5,24.3,4.5,1.68,COLD,LOT2024-159,,True,NONE,"[""BAR180913"", ""RFID23256""]",73,2026-09-16,3984.0,1078,2906.0,1.85,Storage_Bay,IN_USE
000039,Water_Bottle_003,Food,Water_Bottle,18.8,32.5,7.4,2.01,AMBIENT,LOT2024-421,,True,NONE,"[""BAR481995"", ""RFID41133""]",70,2026-04-05,1357.0,459,898.0,2.03,Storage_Bay,IN_USE
000040,Water_Bottle_004,Food,Water_Bottle,15.7,38.9,24.4,4.54,N/A,LOT2025-788,,False,NONE,"[""BAR395459"", ""RFID75916""]",72,2026-10-13,4673.0,566,4107.0,2.92,Storage_Bay,PLANNED
000041,Water_Bottle_005,Food,Water_Bottle,9.7,23.4,13.7,4.68,COLD,LOT2024-280,,False,NONE,"[""BAR571145"", ""QR8167""]",93,2026-02-06,2336.0,923,1413.0,0.73,Storage_Bay,WASTE_DEPLETED
000042,Water_Bottle_006,Food,Water_Bottle,37.8,21.3,14.3,2.0,COLD,LOT2025-954,,False,NONE,"[""BAR203896""]",84,2025-12-24,3072.0,587,2485.0,2.48,Storage_Bay,ACTIVE
000043,Water_Bottle_007,Food,Water_Bottle,23.1,34.6,23.7,2.45,COLD,LOT2024-562,,True,NONE,"[""BAR862560"", ""RFID65476"", ""QR5720""]",60,2025-12-22,156.0,30,126.0,1.09,Storage_Bay,ACTIVE
000044,Water_Bottle_008,Food,Water_Bottle,33.4,22.6,6.9,4.54,COLD,LOT2026-148,,True,NONE,"[""BAR405420"", ""RFID90584""]",94,2025-10-18,4222.0,350,3872.0,1.93,Storage_Bay,ACTIVE
000045,Water_Bottle_009,Food,Water_Bottle,19.5,38.5,18.1,3.97,COLD,LOT2025-045,,True,NONE,"[""BAR766549"", ""RFID58929"", ""QR1266""]",92,2027-04-22,167.0,30,137.0,1.39,Storage_Bay,ACTIVE
000046,Water_Bottle_010,Food,Water_Bottle,28.1,32.7,23.1,1.8,COLD,LOT2026-180,,True,NONE,"[""BAR970720"", ""RFID70899""]",62,2026-09-27,4473.0,552,3921.0,1.7,Storage_Bay,ACTIVE
000047,Water_Purification_Unit_001,Food,Water_Purification_Unit,38.2,9.2,9.2,4.0,COLD,LOT2026-485,,True,NONE,"[""BAR365618"", ""RFID94790"", ""QR6848""]",62,2026-08-21,2541.0,679,1862.0,2.66,Storage_Bay,ACTIVE
000048,Water_Purification_Unit_002,Food,Water_Purification_Unit,33.6,22.0,14.4,2.31,COLD,LOT2025-377,,True,NONE,"[""BAR936020"", ""RFID20828""]",84,2026-09-14,1531.0,184,1347.0,0.7,Storage_Bay,ACTIVE
000049,Water_Purification_Unit_003,Food,Water_Purification_Unit,18.3,10.6,21.2,1.67,COLD,LOT2024-745,,True,NONE,"[""BAR469685"", ""RFID67008"", ""QR1939""]",87,2026-03-21,3637.0,744,2893.0,0.69,Storage_Bay,ACTIVE
000050,Water_Purification_Unit_004,Food,Water_Purification_Unit,32.0,13.1,4.8,4.27,COLD,LOT2026-376,,True,NONE,"[""BAR479742"", ""RFID84349"", ""QR3513""]",88,2025-11-06,1035.0,380,655.0,2.2,Storage_Bay,DISPOSED
000051,Water_Purification_Unit_005,Food,Water_Purification_Unit,10.5,12.4,13.5,1.71,COLD,LOT2024-512,,True,NONE,"[""BAR642895"", ""RFID83619"", ""QR5264""]",77,2026-06-14,930.0,313,617.0,2.26,Storage_Bay,ACTIVE
000052,Water_Purification_Unit_006,Food,Water_Purification_Unit,37.3,23.7,7.2,4.29,N/A,LOT2026-991,,False,NONE,"[""BAR986593""]",88,2026-03-27,3647.0,594,3053.0,2.27,Storage_Bay,ACTIVE
000053,Water_Purification_Unit_007,Food,Water_Purification_Unit,35.2,30.8,28.1,3.26,COLD,LOT2024-812,,True,NONE,"[""BAR245622"", ""RFID74752"", ""QR7044""]",83,2027-03-06,1837.0,132,1705.0,1.67,Storage_Bay,BROKEN
000054,Water_Purification_Unit_008,Food,Water_Purification_Unit,10.8,17.9,30.0,3.65,AMBIENT,LOT2024-129,,True,NONE,"[""BAR432427"", ""RFID68979""]",93,2026-11-26,3355.0,1597,1758.0,1.79,Storage_Bay,ACTIVE
000055,Water_Purification_Unit_009,Food,Water_Purification_Unit,26.8,32.6,7.4,2.61,COLD,LOT2025-169,,True,NONE,"[""BAR269834"", ""RFID39552""]",63,2028-01-31,1018.0,433,585.0,2.85,Storage_Bay,WASTE_EXPIRED
000056,Water_Purification_Unit_010,Food,Water_Purification_Unit,14.3,38.6,11.1,3.2,AMBIENT,LOT2026-965,,True,NONE,"[""BAR708851"", ""RFID96341""]",94,2026-01-05,4118.0,168,3950.0,2.76,Storage_Bay,ACTIVE
000057,Water_Purification_Unit_011,Food,Water_Purification_Unit,8.9,9.5,20.7,2.97,COLD,LOT2026-032,,True,NONE,"[""BAR622230""]",73,2027-11-26,4687.0,1003,3684.0,2.1,Storage_Bay,ACTIVE
000058,Water_Purification_Unit_012,Food,Water_Purification_Unit,29.9,17.5,5.9,0.49,COLD,LOT2025-622,,True,NONE,"[""BAR250647"", ""RFID51853""]",88,2026-12-01,3967.0,267,3700.0,2.65,Storage_Bay,BROKEN
000059,Water_Purification_Unit_013,Food,Water_Purification_Unit,24.5,11.4,10.3,0.79,COLD,LOT2025-969,,False,NONE,"[""BAR502810""]",88,2026-06-12,1155.0,335,820.0,2.91,Storage_Bay,WASTE_DEPLETED
000060,3D_Printer_001,Equipment,3D_Printer,44.7,40.7,119.6,28.54,COLD,LOT2025-518,,True,NONE,"[""BAR579441"", ""QR6781""]",69,N/A,8248.0,3855,4393.0,0.12,Engineering_Bay,ACTIVE
000061,3D_Printer_002,Equipment,3D_Printer,21.1,34.0,24.7,16.6,AMBIENT,LOT2025-053,,True,NONE,"[""BAR697983"", ""RFID57516""]",73,N/A,6706.0,3130,3576.0,0.16,Engineering_Bay,ACTIVE
000062,3D_Printer_003,Equipment,3D_Printer,127.3,101.0,77.2,8.59,AMBIENT,LOT2025-572,,True,NONE,"[""BAR483366"", ""RFID36090""]",56,N/A,6553.0,159,6394.0,0.63,Engineering_Bay,ACTIVE
000063,Battery_Pack_001,Equipment,Battery_Pack,124.5,87.5,26.4,53.69,WARM,LOT2025-632,,True,FLAMMABLE,"[""BAR875232""]",58,N/A,5473.0,2006,3467.0,0.79,Engineering_Bay,ACTIVE
000064,Battery_Pack_002,Equipment,Battery_Pack,59.0,126.0,50.5,40.75,AMBIENT,LOT2026-645,,True,PRESSURIZED,"[""BAR127941"", ""RFID44803""]",76,N/A,9663.0,4731,4932.0,1.19,Engineering_Bay,IN_USE
000065,Battery_Pack_003,Equipment,Battery_Pack,26.7,82.5,67.7,43.55,AMBIENT,LOT2026-971,,True,FLAMMABLE,"[""BAR834549"", ""RFID12482""]",74,N/A,2521.0,417,2104.0,0.66,Engineering_Bay,ACTIVE
000066,Circuit_Board_001,Equipment,Circuit_Board,133.5,115.7,16.9,9.15,AMBIENT,LOT2026-490,,True,NONE,"[""BAR651002"", ""RFID32699""]",63,N/A,9289.0,2165,7124.0,0.82,Engineering_Bay,ACTIVE
000067,Circuit_Board_002,Equipment,Circuit_Board,45.0,52.0,71.4,14.27,AMBIENT,LOT2026-722,,True,NONE,"[""BAR612756"", ""RFID55718""]",69,N/A,4835.0,1178,3657.0,1.41,Engineering_Bay,IN_USE
000068,Circuit_Board_003,Equipment,Circuit_Board,108.0,69.4,117.8,49.28,COLD,LOT2026-081,,True,NONE,"[""BAR463188""]",59,N/A,4858.0,2206,2652.0,1.13,Engineering_Bay,ACTIVE
000069,Circuit_Board_004,Equipment,Circuit_Board,93.1,55.3,22.0,44.71,AMBIENT,LOT2026-232,,True,NONE,"[""BAR768933"", ""RFID23133""]",65,N/A,4072.0,1578,2494.0,1.09,Engineering_Bay,ACTIVE
000070,Space_Suit_001,Equipment,Space_Suit,72.9,141.6,106.6,29.17,AMBIENT,LOT2026-061,,False,NONE,"[""BAR906066"", ""RFID85252"", ""QR1611""]",62,N/A,4806.0,720,4086.0,1.37,Airlock,ACTIVE
000071,Space_Suit_002,Equipment,Space_Suit,24.7,128.7,96.7,11.99,COLD,LOT2026-618,,True,NONE,"[""BAR212512""]",68,N/A,713.0,268,445.0,0.71,Airlock,ACTIVE
000072,EV_Suit_Battery_001,Equipment,EV_Suit_Battery,130.6,80.8,31.2,7.65,AMBIENT,LOT2026-191,,True,NONE,"[""BAR114768"", ""RFID48669""]",60,N/A,7618.0,3506,4112.0,1.15,Airlock,ACTIVE
000073,EV_Suit_Battery_002,Equipment,EV_Suit_Battery,72.7,75.6,46.1,24.65,N/A,LOT2025-332,,True,NONE,"[""BAR360096"", ""RFID60275"", ""QR5374""]",56,N/A,3127.0,1480,1647.0,1.43,Airlock,ACTIVE
000074,Gyroscope_Module_001,Equipment,Gyroscope_Module,105.0,110.1,16.8,7.98,AMBIENT,LOT2026-946,,True,NONE,"[""BAR837733"", ""RFID25389""]",69,N/A,2716.0,452,2264.0,1.41,Engineering_Bay,ACTIVE
000075,Gyroscope_Module_002,Equipment,Gyroscope_Module,37.4,39.9,92.3,36.74,WARM,LOT2026-822,,True,NONE,"[""BAR796353""]",76,N/A,9098.0,670,8428.0,1.04,Engineering_Bay,ACTIVE
000076,Gyroscope_Module_003,Equipment,Gyroscope_Module,88.7,67.0,110.9,7.62,AMBIENT,LOT2026-154,,True,NONE,"[""BAR272529"", ""RFID78202""]",85,N/A,8381.0,4004,4377.0,1.04,Engineering_Bay,IN_USE
000077,Tether_Reel_001,Equipment,Tether_Reel,125.1,78.9,66.5,27.95,AMBIENT,LOT2025-741,,True,NONE,"[""BAR122827"", ""RFID10395""]",53,N/A,9255.0,2822,6433.0,0.89,Engineering_Bay,ACTIVE
000078,Tether_Reel_002,Equipment,Tether_Reel,90.4,27.8,108.4,59.18,AMBIENT,LOT2024-788,,False,NONE,"[""BAR242007"", ""RFID94656""]",80,N/A,619.0,229,390.0,0.59,Engineering_Bay,WASTE_EXPIRED
000079,Tether_Reel_003,Equipment,Tether_Reel,137.9,68.8,85.1,40.05,AMBIENT,LOT2025-122,,True,NONE,"[""BAR287143""]",84,N/A,2278.0,7,2271.0,0.23,Engineering_Bay,BROKEN
000080,Tether_Reel_004,Equipment,Tether_Reel,147.2,80.2,89.1,26.02,AMBIENT,LOT2025-159,,True,NONE,"[""BAR389039"", ""RFID24790"", ""QR7868""]",74,N/A,3862.0,1820,2042.0,0.94,Engineering_Bay,WASTE
000081,Helmet_Visor_001,Equipment,Helmet_Visor,28.7,97.2,59.1,40.65,AMBIENT,LOT2025-450,,True,NONE,"[""BAR345722"", ""RFID17398"", ""QR5739""]",53,N/A,4109.0,1306,2803.0,0.39,Engineering_Bay,WASTE_DEPLETED
000082,Helmet_Visor_002,Equipment,Helmet_Visor,120.4,126.4,36.1,52.7,AMBIENT,LOT2025-063,,True,NONE,"[""BAR683761""]",83,N/A,3721.0,874,2847.0,1.37,Engineering_Bay,ACTIVE
000083,Lab_Microscope_001,Equipment,Lab_Microscope,146.4,142.4,83.8,47.36,AMBIENT,LOT2025-386,,True,NONE,"[""BAR292811"", ""RFID72065"", ""QR4692""]",70,N/A,6921.0,3300,3621.0,0.49,Engineering_Bay,IN_USE
000084,Laptop_001,Equipment,Laptop,93.1,145.8,71.3,8.91,AMBIENT,LOT2026-081,,False,NONE,"[""BAR571635"", ""QR4120""]",65,N/A,4277.0,161,4116.0,0.12,Engineering_Bay,ACTIVE
000085,LED_Work_Light_001,Equipment,LED_Work_Light,124.6,96.4,83.9,13.8,AMBIENT,LOT2024-217,,True,NONE,"[""BAR299254"", ""QR8846""]",63,N/A,5555.0,837,4718.0,1.38,Engineering_Bay,ACTIVE
000086,LED_Work_Light_002,Equipment,LED_Work_Light,51.1,61.8,41.1,28.51,AMBIENT,LOT2026-904,,True,NONE,"[""BAR621433"", ""RFID71537""]",72,N/A,5153.0,1281,3872.0,0.51,Engineering_Bay,ACTIVE
000087,Navigation_Module_001,Equipment,Navigation_Module,116.4,22.1,70.9,35.46,AMBIENT,LOT2025-236,,True,NONE,"[""BAR498290"", ""RFID42208""]",76,N/A,4936.0,1054,3882.0,1.0,Engineering_Bay,ACTIVE
000088,Navigation_Module_002,Equipment,Navigation_Module,83.5,114.1,91.4,28.19,AMBIENT,LOT2026-501,,True,NONE,"[""BAR292988""]",72,N/A,2873.0,69,2804.0,0.98,Engineering_Bay,ACTIVE
000089,Scientific_Sensor_001,Equipment,Scientific_Sensor,142.9,106.9,94.1,25.33,AMBIENT,LOT2024-010,,True,NONE,"[""BAR329344"", ""RFID58916"", ""QR8916""]",90,N/A,3891.0,1089,2802.0,1.01,Engineering_Bay,ACTIVE
000090,Solar_Panel_001,Equipment,Solar_Panel,22.2,113.9,68.9,17.91,AMBIENT,LOT2024-110,,True,NONE,"[""BAR200992"", ""RFID41584"", ""QR9625""]",82,N/A,7154.0,3256,3898.0,0.42,Engineering_Bay,ACTIVE
000091,Tool_Kit_001,Equipment,Tool_Kit,144.7,79.7,36.8,42.14,AMBIENT,LOT2026-778,,True,NONE,"[""BAR133223"", ""RFID59710""]",69,N/A,1420.0,175,1245.0,0.74,Engineering_Bay,ACTIVE
000092,Tool_Kit_002,Equipment,Tool_Kit,129.9,103.8,46.4,58.66,WARM,LOT2024-217,,False,NONE,"[""BAR825916""]",56,N/A,8753.0,2296,6457.0,0.12,Engineering_Bay,ACTIVE
000093,Tool_Kit_003,Equipment,Tool_Kit,93.3,24.3,112.2,19.55,AMBIENT,LOT2026-841,,True,NONE,"[""BAR517643"", ""QR4939""]",63,N/A,9717.0,4428,5289.0,0.87,Engineering_Bay,PLANNED
000094,Vacuum_Sealed_Tools_001,Equipment,Vacuum_Sealed_Tools,122.8,109.6,18.6,44.98,AMBIENT,LOT2024-859,,True,NONE,"[""BAR179710"", ""RFID90460""]",72,N/A,979.0,15,964.0,0.63,Engineering_Bay,IN_USE
000095,Vacuum_Sealed_Tools_002,Equipment,Vacuum_Sealed_Tools,121.9,78.6,35.1,33.63,AMBIENT,LOT2026-677,,True,NONE,"[""BAR498535"", ""RFID91083"", ""QR5037""]",74,N/A,7175.0,631,6544.0,1.08,Engineering_Bay,ACTIVE
000096,Asteroid_Sample_Container_001,Experiment_Sample,Asteroid_Sample_Container,34.0,37.2,17.9,1.09,AMBIENT,LOT2025-105,,True,NONE,"[""BAR238943"", ""RFID66489""]",55,N/A,2575.0,53,2522.0,0.29,Lab,ACTIVE
000097,Asteroid_Sample_Container_002,Experiment_Sample,Asteroid_Sample_Container,31.6,32.9,29.6,5.25,AMBIENT,LOT2024-743,,True,NONE,"[""BAR686716""]",55,N/A,2440.0,779,1661.0,0.29,Lab,ACTIVE
000098,Asteroid_Sample_Container_003,Experiment_Sample,Asteroid_Sample_Container,23.1,23.1,13.6,1.42,AMBIENT,LOT2024-370,,True,NONE,"[""BAR363926""]",72,N/A,3499.0,937,2562.0,0.26,Lab,ACTIVE
000099,Asteroid_Sample_Container_004,Experiment_Sample,Asteroid_Sample_Container,24.1,43.5,18.3,3.91,AMBIENT,LOT2026-998,,False,NONE,"[""BAR723266"", ""RFID52030""]",76,N/A,3656.0,363,3293.0,0.35,Lab,ACTIVE
000100,Asteroid_Sample_Container_005,Experiment_Sample,Asteroid_Sample_Container,44.1,23.7,27.4,3.2,AMBIENT,LOT2025-374,,False,NONE,"[""BAR219420"", ""QR9939""]",70,N/A,2719.0,55,2664.0,0.11,Lab,IN_USE
000101,Asteroid_Sample_Container_006,Experiment_Sample,Asteroid_Sample_Container,28.8,36.3,21.0,2.1,AMBIENT,LOT2024-649,,True,NONE,"[""BAR417543"", ""RFID96332"", ""QR7932""]",59,N/A,3401.0,1224,2177.0,0.4,Lab,ACTIVE
000102,Asteroid_Sample_Container_007,Experiment_Sample,Asteroid_Sample_Container,27.0,30.2,33.0,4.3,AMBIENT,LOT2025-719,,True,NONE,"[""BAR951755"", ""RFID93647""]",89,N/A,351.0,170,181.0,0.07,Lab,ACTIVE
000103,Asteroid_Sample_Container_008,Experiment_Sample,Asteroid_Sample_Container,34.4,16.3,34.6,4.23,N/A,LOT2025-109,,True,NONE,"[""BAR111060"", ""RFID39098""]",80,N/A,2766.0,1178,1588.0,0.27,Lab,ACTIVE
000104,Asteroid_Sample_Container_009,Experiment_Sample,Asteroid_Sample_Container,26.2,28.9,27.0,4.3,N/A,LOT2025-108,,True,NONE,"[""BAR409783"", ""RFID21253"", ""QR3321""]",64,N/A,2875.0,423,2452.0,0.19,Lab,ACTIVE
000105,Asteroid_Sample_Container_010,Experiment_Sample,Asteroid_Sample_Container,25.4,17.9,28.0,2.99,COLD,LOT2026-118,,True,NONE,"[""BAR123682""]",59,N/A,2509.0,499,2010.0,0.35,Lab,ACTIVE
000106,Asteroid_Sample_Container_011,Experiment_Sample,Asteroid_Sample_Container,31.6,24.9,20.7,3.04,AMBIENT,LOT2026-443,,True,NONE,"[""BAR514798"", ""RFID90492""]",80,N/A,1561.0,4,1557.0,0.24,Lab,ACTIVE
000107,Asteroid_Sample_Container_012,Experiment_Sample,Asteroid_Sample_Container,21.2,37.6,30.2,0.84,AMBIENT,LOT2025-202,,True,NONE,"[""BAR579776"", ""RFID97910""]",61,N/A,4448.0,1591,2857.0,0.27,Lab,ACTIVE
000108,Asteroid_Sample_Container_013,Experiment_Sample,Asteroid_Sample_Container,32.6,25.4,31.1,3.9,AMBIENT,LOT2024-321,,True,NONE,"[""BAR223586"", ""RFID25328"", ""QR3316""]",74,N/A,4884.0,564,4320.0,0.27,Lab,ACTIVE
000109,Microgravity_Lab_Kit_001,Experiment_Sample,Microgravity_Lab_Kit,20.6,34.1,27.3,4.05,AMBIENT,LOT2025-144,,True,NONE,"[""BAR296187"", ""RFID69113""]",66,N/A,4595.0,1984,2611.0,0.44,Lab,LOST
000110,Microgravity_Lab_Kit_002,Experiment_Sample,Microgravity_Lab_Kit,39.5,43.9,22.6,3.22,AMBIENT,LOT2025-501,,True,NONE,"[""BAR275377"", ""RFID14044""]",86,N/A,3454.0,460,2994.0,0.13,Lab,ACTIVE
