container_id,name,type,zone,module_id,width_cm,depth_cm,height_cm,open_face,max_mass,current_mass,access_index,parent_container_id,is_active,description,created_at,last_accessed
M2-L026,Lab Cabinet 06,CABINET,Lab,M2,74.1,36.4,128.2,+Z,581.1,0.0,40,,True,Cabinet in Lab for storage,2025-09-02T11:36:44.764592,
M3-L027,Lab Cabinet 07,CABINET,Lab,M3,135.3,139.5,160.0,+Y,2370.8,0.0,19,,False,Cabinet in Lab for storage,2025-09-02T11:36:44.764592,
M1-L028,Lab Drawer 08,DRAWER,Lab,M1,93.7,89.6,194.6,-Y,1986.8,0.0,23,,True,Drawer in Lab for storage,2025-09-02T11:36:44.765589,
M3-L029,Lab Drawer 09,DRAWER,Lab,M3,135.7,38.8,93.4,-X,882.2,0.0,26,,True,Drawer in Lab for storage,2025-09-02T11:36:44.765589,
M3-LS030,Life Support Rack Bay 01,RACK_BAY,Life_Support,M3,184.6,82.0,191.3,-Y,4305.6,0.0,56,,True,Rack Bay in Life Support for storage,2025-09-02T11:36:44.765589,
M1-LS031,Life Support Cabinet 02,CABINET,Life_Support,M1,190.9,76.6,205.9,-Z,2095.2,0.0,45,,True,Cabinet in Life Support for storage,2025-09-02T11:36:44.765589,
M2-MB032,Maintenance Bay Drawer 01,DRAWER,Maintenance_Bay,M2,104.3,147.7,128.7,+X,3953.6,0.0,46,,True,Drawer in Maintenance Bay for storage,2025-09-02T11:36:44.765589,
M1-MB033,Maintenance Bay Rack Bay 02,RACK_BAY,Maintenance_Bay,M1,130.8,67.2,161.9,-X,1320.3,0.0,53,,True,Rack Bay in Maintenance Bay for storage,2025-09-02T11:36:44.765589,
M3-MB034,Maintenance Bay Drawer 03,DRAWER,Maintenance_Bay,M3,158.5,129.5,238.5,-Y,7351.7,0.0,10,,True,Drawer in Maintenance Bay for storage,2025-09-02T11:36:44.765589,
M1-MB035,Maintenance Bay Rack Bay 04,RACK_BAY,Maintenance_Bay,M1,152.9,172.1,136.1,+Z,2625.0,0.0,65,,True,Rack Bay in Maintenance Bay for storage,2025-09-02T11:36:44.765589,
M2-MB036,Maintenance Bay Drawer 05,DRAWER,Maintenance_Bay,M2,160.5,76.5,196.1,+X,2109.6,0.0,41,,True,Drawer in Maintenance Bay for storage,2025-09-02T11:36:44.765589,
M1-MB037,Maintenance Bay Drawer 06,DRAWER,Maintenance_Bay,M1,119.3,86.0,120.4,-X,916.9,0.0,26,,True,Drawer in Maintenance Bay for storage,2025-09-02T11:36:44.765589,
M3-MB038,Maintenance Bay Rack Bay 07,RACK_BAY,Maintenance_Bay,M3,119.9,51.3,129.0,+Z,439.3,0.0,64,,True,Rack Bay in Maintenance Bay for storage,2025-09-02T11:36:44.765589,
M1-MB039,Maintenance Bay Locker 08,LOCKER,Maintenance_Bay,M1,80.7,66.6,157.0,-Z,1285.0,0.0,28,,True,Locker in Maintenance Bay for storage,2025-09-02T11:36:44.765589,
M3-MB040,Maintenance Bay Drawer 09,DRAWER,Maintenance_Bay,M3,169.2,164.9,168.8,+Y,8896.0,0.0,19,,True,Drawer in Maintenance Bay for storage,2025-09-02T11:36:44.765589,
M1-MB041,Maintenance Bay Rack Bay 10,RACK_BAY,Maintenance_Bay,M1,196.7,155.4,225.8,-X,11547.8,0.0,51,,True,Rack Bay in Maintenance Bay for storage,2025-09-02T11:36:44.765589,
M3-MB042,Medical Bay Locker 01,LOCKER,Medical_Bay,M3,125.0,119.2,108.0,-X,2911.2,0.0,17,,True,Locker in Medical Bay for storage,2025-09-02T11:36:44.765589,
M1-MB043,Medical Bay Locker 02,LOCKER,Medical_Bay,M1,119.8,80.6,114.9,-X,1654.7,0.0,5,,True,Locker in Medical Bay for storage,2025-09-02T11:36:44.765589,
M3-MB044,Medical Bay Cabinet 03,CABINET,Medical_Bay,M3,125.1,136.4,110.2,-Y,2856.6,0.0,22,,True,Cabinet in Medical Bay for storage,2025-09-02T11:36:44.765589,
M3-MB045,Medical Bay Drawer 04,DRAWER,Medical_Bay,M3,33.0,126.5,107.0,-X,296.3,0.0,1,,True,Drawer in Medical Bay for storage,2025-09-02T11:36:44.765589,
M1-MB046,Medical Bay Drawer 05,DRAWER,Medical_Bay,M1,116.5,78.0,237.2,+X,1692.2,0.0,18,,True,Drawer in Medical Bay for storage,2025-09-02T11:36:44.765589,
M3-MB047,Medical Bay Cabinet 06,CABINET,Medical_Bay,M3,30.2,131.8,156.9,+X,653.3,0.0,16,,True,Cabinet in Medical Bay for storage,2025-09-02T11:36:44.765589,
M1-MB048,Medical Bay Cabinet 07,CABINET,Medical_Bay,M1,131.3,98.5,179.4,-Z,2926.2,0.0,19,,True,Cabinet in Medical Bay for storage,2025-09-02T11:36:44.765589,
M2-PB049,Power Bay Drawer 01,DRAWER,Power_Bay,M2,74.3,62.5,82.9,+Z,547.9,0.0,21,,True,Drawer in Power Bay for storage,2025-09-02T11:36:44.765589,
M3-SB050,Sanitation Bay Trash Bag 01,TRASH_BAG,Sanitation_Bay,M3,87.5,55.2,188.4,-X,1090.0,0.0,25,,True,Trash Bag in Sanitation Bay for storage,2025-09-02T11:36:44.765589,
M3-SB051,Storage Bay Rack Bay 01,RACK_BAY,Storage_Bay,M3,101.1,129.4,255.6,-Y,2097.0,0.0,51,,True,Rack Bay in Storage Bay for storage,2025-09-02T11:36:44.765589,
M1-SB052,Storage Bay Ctb 02,CTB,Storage_Bay,M1,111.9,59.3,254.7,+Y,1415.9,0.0,34,,True,Ctb in Storage Bay for storage,2025-09-02T11:36:44.766592,
M1-SB053,Storage Bay Locker 03,LOCKER,Storage_Bay,M1,54.6,148.4,217.2,-Y,3220.9,0.0,28,,True,Locker in Storage Bay for storage,2025-09-02T11:36:44.766592,
M3-SB054,Storage Bay Ctb 04,CTB,Storage_Bay,M3,119.6,99.4,176.8,+X,3868.7,0.0,25,,True,Ctb in Storage Bay for storage,2025-09-02T11:36:44.766592,
M2-SB055,Storage Bay Rack Bay 05,RACK_BAY,Storage_Bay,M2,71.9,130.4,226.6,+X,1855.8,0.0,47,,True,Rack Bay in Storage Bay for storage,2025-09-02T11:36:44.766592,
M3-SB056,Storage Bay Locker 06,LOCKER,Storage_Bay,M3,130.1,116.8,258.7,-X,6418.0,0.0,45,,True,Locker in Storage Bay for storage,2025-09-02T11:36:44.766592,
M3-SB057,Storage Bay Locker 07,LOCKER,Storage_Bay,M3,121.9,100.5,241.4,-X,2184.4,0.0,43,,True,Locker in Storage Bay for storage,2025-09-02T11:36:44.766592,
M3-SB058,Storage Bay Locker 08,LOCKER,Storage_Bay,M3,125.2,134.0,180.5,-X,2600.2,0.0,35,,True,Locker in Storage Bay for storage,2025-09-02T11:36:44.766592,
M3-SB059,Storage Bay Rack Bay 09,RACK_BAY,Storage_Bay,M3,78.6,77.2,185.2,-X,815.4,0.0,34,,True,Rack Bay in Storage Bay for storage,2025-09-02T11:36:44.766592,
M3-SB060,Storage Bay Locker 10,LOCKER,Storage_Bay,M3,120.6,56.4,194.8,-X,787.0,0.0,28,,True,Locker in Storage Bay for storage,2025-09-02T11:36:44.766592,
M3-SB061,Storage Bay Locker 11,LOCKER,Storage_Bay,M3,127.0,144.6,152.1,+Z,1421.6,0.0,30,,True,Locker in Storage Bay for storage,2025-09-02T11:36:44.766592,
M3-SB062,Storage Bay Ctb 12,CTB,Storage_Bay,M3,89.0,139.2,241.9,-Y,3952.9,0.0,48,,True,Ctb in Storage Bay for storage,2025-09-02T11:36:44.766592,
M2-SB063,Storage Bay Locker 13,LOCKER,Storage_Bay,M2,98.8,77.3,203.4,-X,2359.8,0.0,36,,True,Locker in Storage Bay for storage,2025-09-02T11:36:44.766592,
M3-SB064,Storage Bay Rack Bay 14,RACK_BAY,Storage_Bay,M3,134.1,142.0,257.9,-Y,5353.9,0.0,59,,True,Rack Bay in Storage Bay for storage,2025-09-02T11:36:44.766592,
M1-SB065,Storage Bay Rack Bay 15,RACK_BAY,Storage_Bay,M1,58.4,92.9,245.4,+Y,1421.8,0.0,38,,True,Rack Bay in Storage Bay for storage,2025-09-02T11:36:44.766592,
M2-SB066,Storage Bay Locker 16,LOCKER,Storage_Bay,M2,83.8,138.0,180.6,+X,1299.8,0.0,41,,True,Locker in Storage Bay for storage,2025-09-02T11:36:44.767102,
M1-SB067,Storage Bay Ctb 17,CTB,Storage_Bay,M1,55.2,145.2,174.7,+Y,2284.0,0.0,26,,True,Ctb in Storage Bay for storage,2025-09-02T11:36:44.767102,
M3-SB068,Storage Bay Rack Bay 18,RACK_BAY,Storage_Bay,M3,52.0,65.2,163.9,-X,1069.1,0.0,48,,True,Rack Bay in Storage Bay for storage,2025-09-02T11:36:44.767102,
M3-SB069,Storage Bay Ctb 19,CTB,Storage_Bay,M3,126.7,66.8,216.8,+Y,3057.0,0.0,28,,False,Ctb in Storage Bay for storage,2025-09-02T11:36:44.767102,
M3-SB070,Storage Bay Locker 20,LOCKER,Storage_Bay,M3,60.8,52.6,184.3,+Y,1126.7,0.0,27,,True,Locker in Storage Bay for storage,2025-09-02T11:36:44.767102,
M2-SB071,Storage Bay Ctb 21,CTB,Storage_Bay,M2,119.1,112.7,161.2,-Y,3696.1,0.0,44,,True,Ctb in Storage Bay for storage,2025-09-02T11:36:44.767102,
M3-SB072,Storage Bay Ctb 22,CTB,Storage_Bay,M3,84.7,92.8,190.8,-X,778.7,0.0,35,,True,Ctb in Storage Bay for storage,2025-09-02T11:36:44.767102,
M2-SB073,Storage Bay Ctb 23,CTB,Storage_Bay,M2,60.6,146.1,219.9,-Z,2243.4,0.0,29,,True,Ctb in Storage Bay for storage,2025-09-02T11:36:44.767102,
M2-SB074,Storage Bay Locker 24,LOCKER,Storage_Bay,M2,115.0,111.6,251.2,-Y,5605.9,0.0,28,,True,Locker in Storage Bay for storage,2025-09-02T11:36:44.767102,
M2-SB075,Storage Bay Rack Bay 25,RACK_BAY,Storage_Bay,M2,135.2,133.1,159.5,-Y,3435.1,0.0,54,,True,Rack Bay in Storage Bay for storage,2025-09-02T11:36:44.767102,
M2-SB076,Storage Bay Rack Bay 26,RACK_BAY,Storage_Bay,M2,83.6,99.4,185.8,+Z,2621.1,0.0,41,,True,Rack Bay in Storage Bay for storage,2025-09-02T11:36:44.767102,
M3-SB077,Storage Bay Rack Bay 27,RACK_BAY,Storage_Bay,M3,109.6,138.0,211.1,-X,2753.4,0.0,32,,True,Rack Bay in Storage Bay for storage,2025-09-02T11:36:44.767102,
M2-SB078,Storage Bay Locker 28,LOCKER,Storage_Bay,M2,125.8,119.1,221.0,+Z,1741.3,0.0,40,,True,Locker in Storage Bay for storage,2025-09-02T11:36:44.767102,
M2-SB079,Storage Bay Ctb 29,CTB,Storage_Bay,M2,119.2,80.6,214.0,-Z,2088.0,0.0,41,,True,Ctb in Storage Bay for storage,2025-09-02T11:36:44.767102,
M1-SB080,Storage Bay Rack Bay 30,RACK_BAY,Storage_Bay,M1,85.2,95.4,183.7,+X,1177.5,0.0,53,,True,Rack Bay in Storage Bay for storage,2025-09-02T11:36:44.767102,
M3-SB081,Storage Bay Locker 31,LOCKER,Storage_Bay,M3,145.1,119.0,171.1,-Y,4687.6,0.0,23,,True,Locker in Storage Bay for storage,2025-09-02T11:36:44.767102,
M2-SB082,Storage Bay Rack Bay 32,RACK_BAY,Storage_Bay,M2,148.1,133.3,182.6,-Y,1877.6,0.0,39,,True,Rack Bay in Storage Bay for storage,2025-09-02T11:36:44.767102,
M1-SB083,Storage Bay Ctb 33,CTB,Storage_Bay,M1,54.6,55.5,182.1,+X,897.6,0.0,52,,True,Ctb in Storage Bay for storage,2025-09-02T11:36:44.767102,
M1-SB084,Storage Bay Rack Bay 34,RACK_BAY,Storage_Bay,M1,107.4,96.9,198.5,-X,3949.9,0.0,38,,True,Rack Bay in Storage Bay for storage,2025-09-02T11:36:44.767102,
M3-SB085,Storage Bay Rack Bay 35,RACK_BAY,Storage_Bay,M3,56.5,99.2,213.5,-Y,866.3,0.0,34,,True,Rack Bay in Storage Bay for storage,2025-09-02T11:36:44.767102,
M2-SB086,Storage Bay Ctb 36,CTB,Storage_Bay,M2,58.5,74.8,211.4,+Y,1560.5,0.0,44,,True,Ctb in Storage Bay for storage,2025-09-02T11:36:44.767102,
M3-SB087,Storage Bay Locker 37,LOCKER,Storage_Bay,M3,88.0,140.9,182.7,+X,3065.3,0.0,24,,True,Locker in Storage Bay for storage,2025-09-02T11:36:44.767102,
M1-SB088,Storage Bay Locker 38,LOCKER,Storage_Bay,M1,124.0,144.8,172.9,+Y,1929.4,0.0,36,,True,Locker in Storage Bay for storage,2025-09-02T11:36:44.767102,
M3-SB089,Storage Bay Locker 39,LOCKER,Storage_Bay,M3,57.5,50.3,199.6,+Z,316.7,0.0,24,,True,Locker in Storage Bay for storage,2025-09-02T11:36:44.767102,
M2-SB090,Storage Bay Ctb 40,CTB,Storage_Bay,M2,120.3,95.4,225.6,+Y,3862.7,0.0,43,,True,Ctb in Storage Bay for storage,2025-09-02T11:36:44.767102,
